Name,SMILES,Lmax
  1 ,O=C(OC)C1=C([N+]([O-])=O)C=C(C(OC)=O)C(/N=N/C2=CC([H])=C(N(CC)CC)C=C2[H])=C1,504
  2 ,O=C(OC)C1=C([N+]([O-])=O)C=C(C(OC)=O)C(/N=N/C2=CC([H])=C(N(CC)CC)C=C2NC(C)=O)=C1,528
  3 ,O=C(OC)C1=C([N+]([O-])=O)C=C(C(OC)=O)C(/N=N/C2=CC(OC)=C(N(CC)CC)C=C2NC(C)=O)=C1,537
  4 ,O=[N+](C1=CC=C(/N=N/C2=CC=C(N(CCO)CC)C=C2)C=C1)[O-],481
  5 ,O=[N+](C1=CC=C(/N=N/C2=CC=C(N(CCOC(CCCl)=O)CC)C=C2)C=C1)[O-],468
  6 ,O=[N+](C1=CC=C(/N=N/C2=CC=C(N(CCOC(CCOCCNC3=CC=CC=C3)=O)CC)C=C2)C=C1)[O-],473
  7 ,FC1=CC=C(/N=N/C2=CC=C(N(CCO)CCO)C=C2)C=C1,410
  8 ,ClC1=CC=C(/N=N/C2=CC=C(N(CCO)CCO)C=C2)C=C1,419
  9 ,BrC1=CC=C(/N=N/C2=CC=C(N(CCO)CCO)C=C2)C=C1,421
  10 ,IC1=CC=C(/N=N/C2=CC=C(N(CCO)CCO)C=C2)C=C1,424
  11 ,CC1=CC=C(/N=N/C2=CC=C(N(CCO)CCO)C=C2)C=C1,409
  12 ,OCCN(C(C=C1)=CC=C1/N=N/C2=CC=C(CCCC)C=C2)CCO,410
  13 ,OCCN(C(C=C1)=CC=C1/N=N/C2=CC=C(OC)C=C2)CCO,408
  14 ,OCCN(C(C=C1)=CC=C1/N=N/C2=CC=C(NC(C)=O)C=C2)CCO,417
  15 ,OCCN(C(C=C1)=CC=C1/N=N/C2=CC=C(C(C)=O)C=C2)CCO,448
  16 ,OCCN(C(C=C1)=CC=C1/N=N/C2=CC=C(C(NCC(O)=O)=O)C=C2)CCO,431
  17 ,OCCN(C(C=C1)=CC=C1/N=N/C2=CC=C(C#N)C=C2)CCO,452
  18 ,OCCN(C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2)CCO,481
  19 ,FC1=C(/N=N/C2=CC=C(N(C)C)C=C2)C(F)=C(F)C(F)=C1F,439
  20 ,FC1=C(/N=N/C2=CC=C(N(C)C)C=C2)C(F)=C(F)C(SC3=CC=CC=C3N)=C1F,448
  21 ,FC1=C(/N=N/C2=CC=C(N(C)C)C=C2)C(F)=C(F)C(NC3=CC=CC=C3O)=C1F,438
  22 ,FC1=C(/N=N/C2=CC=C(N(C)C)C=C2)C(F)=C(F)C(SCCS)=C1F,448
  23 ,FC1=C(/N=N/C2=CC=C(N(C)C)C=C2)C(F)=C(F)C(NCCN)=C1F,425
  24 ,FC1=C(/N=N/C2=CC=C(N(C)C)C=C2)C(F)=C(F)C3=C1SC4=CC=CC=C4S3,446
  25 ,FC1=C(/N=N/C2=CC=C(N(C)C)C=C2)C(F)=C(F)C3=C1NC4=CC=CC=C4S3,477
  26 ,FC1=C(/N=N/C2=CC=C(N(C)C)C=C2)C(F)=C(F)C3=C1OC4=CC=CC=C4N3,472
  27 ,FC1=C(/N=N/C2=CC=C(N(C)C)C=C2)C3=C(SC(C=CC=C4)=C4S3)C5=C1NC6=CC=CC=C6S5,404
  28 ,FC1=C(/N=N/C2=C(F)C(F)=C(F)C(F)=C2F)C(F)=C(F)C(F)=C1F,312
  29 ,OCCNC1=C(F)C(F)=C(/N=N/C2=C(F)C(F)=C(F)C(F)=C2F)C(F)=C1F,392
  30 ,FC1=C(F)C(F)=C(/N=N/C2=C(F)C(F)=C(F)C(F)=C2F)C(NCCO)=C1F,323
  31 ,ClC1=C(/N=N/C2=C(C)C(C#N)=C(NCCOS(C)(=O)=O)S2)C([H])=CC([N+]([O-])=O)=C1,599
