Name,SMILES,Lmax
56,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ncc(=O)[nH]c1=O,271.6
57,OB(c1cccc(c1)[N+](=O)[O-])O,316.1
60,Oc1ccc(cc1)c1n[nH]c(c1)c1cccc(c1)O,255.9
61,Oc1cccc(c1)c1ccnc(c1)c1cccs1,274.5
62,Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,328.5
63,Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)C(=O)c1ccccc1,344.2
64,N#Cc1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,335.9
65,CCOC(=O)c1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,336.1
66,Cn1c(C)cc2c1CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,326.7
67,O=C(c1cc2CCc3c(c2[nH]c1=O)cc(n3C)C)c1ccccc1,342.4
68,Cc1cc2c(n1Cc1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,328.1
69,O=c1[nH]c2c(cc1C(=O)c1ccccc1)CCc1c2ccn1Cc1ccccc1,343.8
70,Cc1[nH]c2c(c1)c1[nH]c(=O)cc(c1cc2)C,287.1
71,Cc1cnc(nc1O[Si](C)(C)C)O[Si](C)(C)C,243.1
72,S=C=Nc1ccc2c(c1)C(=O)OC12c2ccc(cc2Oc2c1ccc(c2)O)O,258.6
74,CCc1cc(=O)c2c(o1)ccc(c2)O,287.2
75,CCCc1cc(=O)c2c(o1)ccc(c2)O,286.0
76,Oc1ccc2c(c1)c(=O)cc(o2)C(C)C,286.6
77,CC(Cc1cc(=O)c2c(o1)ccc(c2)O)C,286.9
78,Oc1ccc2c(c1)c(=O)cc(o2)C(C)(C)C,287.1
79,Cc1cc(=O)c2c(o1)ccc(c2)O,287.1
80,CCCc1cc(=O)c2c(o1)cc(cc2)O,283.1
81,Oc1ccc2c(c1)oc(cc2=O)C(C)C,283.2
82,CC(Cc1cc(=O)c2c(o1)cc(cc2)O)C,283.7
83,Oc1ccc2c(c1)oc(cc2=O)C(C)(C)C,283.4
84,Cc1cc(=O)c2c(o1)cc(cc2)O,283.6
85,O=c1cc(oc2c1cc1OCOc1c2)C(C)(C)C,279.6
86,CC(Cc1cc(=O)c2c(o1)cc1c(c2)OCO1)C,279.7
87,Brc1ccc2c(c1)ccn2C,269.7
88,Clc1ccc2c(c1)cc([nH]2)C(=O)NCCOCCOCCNC(=O)c1cc2c([nH]1)ccc(c2)Cl,280.0
89,OC(=O)CCc1c2Cc3[nH]c(c(c3C)CCC(=O)O)Cc3[nH]c(Cc4[nH]c(Cc(c1C)[nH]2)c(CCC(=O)O)c4C)c(c3CCC(=O)O)C,237.1
91,CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)Cl,290.8
92,N#Cc1ccc(nc1)c1ccc(cc1)F,270.5
93,CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)F,286.3
94,CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)C,289.3
95,CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)OC,293.3
96,CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1cccs1,299.3
97,CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccco1,294.7
98,CCOc1nc2c(c(c1C#N)c1ccc(cc1)N1CCOCC1)Cc1c2cccc1,292.2
99,CCOc1nc2c(c(c1C#N)c1ccc(cc1)N1CCOCC1)CSc1c2cccc1,313.3
101,OCc1cc(=O)oc2c1cc(Br)c(c2)O,282.9
102,OCCNCCNc1ccc(c2c1c(O)c1c(O)ccc(c1c2O)O)NCCNCCO,456.3
105,COc1cc2c(cc1O)CC1c3c2c(OC)c(O)cc3CCN1C,280.0
106,N1CCN(CC1)c1ccccc1,267.1
108,N[C@H](C(=O)NCCOCCOCCNC(=O)c1ccc(cc1)S(=O)(=O)N)Cc1ccccc1,252.1
109,CS(=O)C(Cc1ccc2c(c1)OCO2)C,257.0
111,COc1ccc(cc1I)c1nc2c([nH]1)cc(cc2)c1nc2c([nH]1)cc(cc2)N1CCN(CC1)C,315.2
112,Clc1ccc(s1)c1onc(c1)Cn1c(cc2c1cccc2)C(=O)NC1CCN(CC1)C(C)C,280.2
113,N#Cc1c(C(=O)NC2CCN(CC2)C(C)C)n(c2c1cccc2C)Cc1noc(c1)c1ccc(s1)Cl,280.9
115,O=C1c2cc3C(=O)C=CC(=O)c3cc2[C@]2(c3c1occ3C(=O)CC2)C,378.4
116,COc1cc(cc(c1OC)OC)C(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,320.8
120,CCOC(=O)C(Oc1ccc(cc1)Cl)(C)C,252.9
122,c1ccc(c(c1)c1cc2c([nH]1)cccc2)c1cc2c([nH]1)cccc2,285.8
123,COc1ccc(cc1)CC(=O)c1ccc(cc1O)O,275.9
124,CCN(c1ccc(c(c1)OCOc1cc(ccc1C=C(C#N)C#N)N(CC)CC)C=C1C([N+](=O)[O-])c2c(C1[N+](=O)[O-])cccc2)CC,314.3
126,Cc1cccc(c1)CNC(=O)c1ncnc(c1)C(=O)NCc1cccc(c1)C,300.1
127,O=C(c1ncnc(c1)C(=O)NCc1ccc(c(c1)C)F)NCc1ccc(c(c1)C)F,300.3
128,NC(=N)c1ccc(cc1)OCOc1ccc(cc1)C(=N)N,242.8
129,c1ccc(cc1)c1ccc(cc1)c1ccccc1,264.2
130,c1csc(c1)c1sccc1c1cccs1,272.9
132,c1ccc(nc1)c1[nH]ncc1c1ccnc2c1cccc2,284.2
133,SCc1cccnc1,253.0
134,COc1ccc2c(c1)[nH]c(n2)S(=O)Cc1ncc(c(c1C)OC)C,262.1
138,c1ccc(cc1)C=Cc1ccc(cc1c1cc(ccc1C=Cc1ccccc1)C=Cc1ccccc1)C=Cc1ccccc1,334.6
139,Oc1ccccc1c1nc2c(s1)cccc2,297.3
140,Fc1ccc2c(c1)sc(n2)c1ccccc1OCc1ccccc1,280.8
141,O=c1[nH]c(=O)n(cc1F)C1CCCO1,240.8
142,N#CC1=C(N)Oc2c(C1)c(=O)oc1c2cccc1,286.5
143,CN(c1ccc(cc1)N(C)C)C,289.3
146,Nc1ccc(cc1)N,285.0
148,C=Cc1ccccc1,250.3
149,[O-][N+](=O)c1cc(cc(c1NN(c1ccccc1)c1ccccc1)[N+](=O)[O-])[N+](=O)[O-],352.8
150,N#CC(c1ccccc1)NC(Cc1ccccc1)C,231.5
168,NC(=N)c1ccc(cc1)OCCOCCOc1ccc(cc1)C(=N)N,250.0
169,O=C(c1cccc(c1O)O)c1ccccc1,312.7
170,COC(=O)C1=C(C)NC2=C(C1c1ccccc1Cl)C(=O)C(CC2)(C)C,313.3
171,COC(=O)C1=C(C)NC2=C(C1c1cccc(c1)Cl)C(=O)C(CC2)(C)C,308.7
172,COC(=O)C1=C(C)NC2=C(C1c1cccc(c1Cl)Cl)C(=O)C(CC2)(C)C,312.9
173,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccccc1,280.3
174,OCc1ccc(o1)c1nn(c2c1cccc2)Cc1ccccc1,293.2
175,[O-][N+](=O)c1ccccc1C,318.5
176,c1ccc2c(c1)NCC2,265.4
177,OC(=O)C=Cc1ccccc1,261.2
178,OC(=O)c1cc(O)c(c(c1)O)O,265.1
179,COc1cc(ccc1O)C(=O)O,259.6
180,OC(=O)C=Cc1ccc(cc1)O,268.8
182,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,283.8
183,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,288.4
184,OCCc1ccc(cc1)O,246.2
185,OC(=O)COc1cc2cc(oc2cc1N(CC(=O)O)CC(=O)O)c1ncc(o1)C(=O)O,301.9
186,CNc1ccccc1,260.3
187,Nc1ccccc1,254.0
189,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,300.7
190,OC(=O)c1ccccc1C(=O)Nc1cccc2c1cccc2,300.2
201,OC(=O)Cc1ccc(cc1)[N+](=O)[O-],316.0
202,Oc1ccc(cc1)[N+](=O)[O-],312.2
204,Nc1ccc(cc1)[N+](=O)[O-],311.7
205,c1ccc2c(c1)Oc1c(C2)c2ccccc2cc1,296.9
206,N#CC(=CC1CC(c2c1cccc2)C=C(C#N)C#N)C#N,246.3
207,O=C(c1ccccc1)c1ccccc1,305.0
208,Brc1ccc(cc1)c1ccc(cc1)c1ccccc1,267.8
209,CCOc1ccccc1C(=O)C(=O)c1ccccc1OCC,318.3
210,c1ccc2c(c1)cccc2,281.9
211,OC1c2ccccc2C=Cc2c1cccc2,279.7
212,c1ccc(cc1)C1=Cc2c(C1)cccc2,298.8
213,O=c1c2ccccc2sc2c1cccc2,304.4
214,O=c1c2ccccc2oc2c1cccc2,299.0
215,O=C(C(=O)c1ccccc1)c1ccccc1,357.1
216,CCC(c1ccc2c(c1)c(=O)c1c(o2)cccc1)(C)C,298.4
